"_time","oracle_error_code","oracle_error_desc"
"2019-06-05T03:21:42.580-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-05T03:21:35.576-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-05T03:21:28.572-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-05T03:21:19.570-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-05T03:21:12.566-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-05T03:21:05.562-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-05T03:20:58.557-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-05T03:20:50.086-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-05T03:20:43.082-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-05T03:20:36.077-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-05T03:20:29.073-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-03T02:31:43.817-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-03T02:31:41.834-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-03T02:31:34.637-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-03T02:31:27.457-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-03T02:31:20.260-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-03T02:31:13.080-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-03T02:31:07.914-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-03T02:31:01.245-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-03T02:30:54.049-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-03T02:30:46.868-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-03T02:30:30.204-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-03T02:30:23.023-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-03T02:30:13.572-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-03T02:30:06.391-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-03T02:29:57.194-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-03T02:29:50.189-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-03T02:29:43.185-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-03T02:29:36.180-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-03T02:29:27.335-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-03T02:29:20.315-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-03T02:29:13.311-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-03T02:29:06.306-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-02T02:31:14.224-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-02T02:31:07.070-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-31T02:32:18.474-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-31T02:32:18.127-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-31T02:32:09.441-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-31T02:32:02.363-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-31T02:31:55.269-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-31T02:31:48.191-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-31T02:31:43.084-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-31T02:31:42.548-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-31T02:31:35.454-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-31T02:31:28.376-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-31T02:31:21.283-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-31T02:31:13.558-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-31T02:31:06.701-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-31T02:30:59.623-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-31T02:30:52.514-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-31T02:30:43.292-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-29T03:24:31.315-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-29T03:24:24.313-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-29T03:24:22.348-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-29T03:24:15.346-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-29T03:24:08.328-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-29T03:24:01.327-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-28T02:32:33.703-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-28T02:32:26.695-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-27T02:32:38.227-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-27T02:32:31.224-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-27T02:32:25.874-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-27T02:32:18.871-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-27T02:32:11.852-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-27T02:32:04.833-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-26T02:33:58.389-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-26T02:33:56.454-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-26T02:33:49.428-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-26T02:33:42.419-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-26T02:33:35.394-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-26T02:33:28.384-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-26T02:33:23.341-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-26T02:33:16.410-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-26T02:33:09.385-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-26T02:33:02.375-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-05-26T02:32:44.297-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-05-26T02:32:37.287-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-05-26T02:32:30.278-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-05-26T02:32:23.268-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-05-26T02:32:14.244-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-05-26T02:32:07.235-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-05-26T02:32:00.225-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-05-26T02:31:53.216-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-05-26T02:31:44.223-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-05-26T02:31:37.216-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-05-26T02:31:30.211-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-05-26T02:31:23.207-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-05-26T02:31:14.221-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-05-26T02:31:07.217-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-05-26T02:31:00.212-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-05-26T02:30:53.208-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-05-26T02:30:44.706-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-05-26T02:30:37.701-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-05-26T02:30:30.681-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-05-26T02:30:23.677-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-18T14:10:36.126-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-18T14:10:30.151-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-18T14:10:29.121-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-18T14:10:28.466-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-18T14:10:21.431-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-18T14:10:14.426-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-18T14:10:07.157-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-06-18T14:10:00.152-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-06-18T14:09:51.026-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-18T14:09:44.022-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-18T14:09:37.002-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-18T14:09:29.997-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-21T02:30:01.369-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-21T02:30:00.603-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-21T02:29:52.772-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-21T02:29:44.957-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-21T02:29:37.126-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-21T02:29:29.311-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-18T03:19:08.669-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-18T03:19:00.961-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-18T03:18:53.235-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-18T03:18:45.527-0400","ORA-01033","ORACLE initialization or shutdown in progress"
